"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 18","7,543.92","7,451.50","7,552.75","7,220.06","-","1.50%"
"Aug 18","7,432.42","7,748.76","7,790.17","7,428.67","15.62B","-4.08%"
"Jul 18","7,748.76","7,636.93","7,782.90","7,540.71","16.07B","1.46%"
"Jun 18","7,636.93","7,678.20","7,793.45","7,508.32","20.02B","-0.54%"
"May 18","7,678.20","7,509.30","7,903.50","7,492.39","19.19B","2.25%"
"Apr 18","7,509.30","7,056.61","7,546.16","6,971.75","16.09B","6.42%"
"Mar 18","7,056.61","7,231.91","7,254.87","6,866.94","17.62B","-2.42%"
"Feb 18","7,231.91","7,533.55","7,554.73","7,073.03","17.11B","-4.00%"
"Jan 18","7,533.55","7,687.77","7,792.56","7,521.77","17.01B","-2.01%"
"Dec 17","7,687.77","7,326.67","7,697.62","7,288.73","14.16B","4.93%"
"Nov 17","7,326.67","7,493.08","7,582.85","7,326.67","18.75B","-2.22%"
"Oct 17","7,493.08","7,372.76","7,565.11","7,372.73","17.74B","1.63%"
"Sep 17","7,372.76","7,430.62","7,460.52","7,196.58","15.93B","-0.78%"
"Aug 17","7,430.62","7,372.00","7,551.85","7,289.20","14.95B","0.80%"
"Jul 17","7,372.00","7,312.72","7,515.12","7,303.46","16.51B","0.81%"
"Jun 17","7,312.72","7,519.95","7,598.99","7,302.71","19.72B","-2.76%"
"May 17","7,519.95","7,203.94","7,586.45","7,203.94","18.87B","4.39%"
"Apr 17","7,203.94","7,322.92","7,406.35","7,096.83","16.25B","-1.62%"
"Mar 17","7,322.92","7,263.44","7,447.00","7,255.78","20.64B","0.82%"
"Feb 17","7,263.44","7,099.15","7,329.56","7,093.57","16.95B","2.31%"
"Jan 17","7,099.15","7,142.83","7,354.14","7,099.15","17.90B","-0.61%"
"Dec 16","7,142.83","6,783.79","7,142.83","6,678.74","15.40B","5.29%"
"Nov 16","6,783.79","6,954.22","6,997.25","6,676.56","20.47B","-2.45%"
"Oct 16","6,954.22","6,899.33","7,129.83","6,898.09","19.25B","0.80%"
"Sep 16","6,899.33","6,781.51","6,941.09","6,654.48","18.67B","1.74%"
"Aug 16","6,781.51","6,724.43","6,955.34","6,615.83","16.19B","0.85%"
"Jul 16","6,724.43","6,504.33","6,780.05","6,432.47","19.72B","3.38%"
"Jun 16","6,504.33","6,230.79","6,504.33","5,788.74","25.47B","4.39%"
"May 16","6,230.79","6,241.89","6,290.07","6,050.21","15.08B","-0.18%"
"Apr 16","6,241.89","6,174.90","6,427.32","6,061.85","15.84B","1.08%"
"Mar 16","6,174.90","6,097.09","6,237.02","6,036.70","16.59B","1.28%"
"Feb 16","6,097.09","6,083.79","6,115.37","5,499.51","19.36B","0.22%"
"Jan 16","6,083.79","6,242.32","6,242.32","5,639.88","17.94B","-2.54%"
"Dec 15","6,242.32","6,356.09","6,447.34","5,871.88","13.85B","-1.79%"
"Nov 15","6,356.09","6,361.09","6,459.46","6,079.79","14.57B","-0.08%"
"Oct 15","6,361.09","6,061.61","6,487.89","6,051.62","15.69B","4.94%"
"Sep 15","6,061.61","6,247.94","6,284.17","5,877.08","18.51B","-2.98%"
"Aug 15","6,247.94","6,696.28","6,764.82","5,768.22","17.67B","-6.70%"
"Jul 15","6,696.28","6,520.98","6,813.41","6,430.36","15.85B","2.69%"
"Jun 15","6,520.98","6,984.43","7,037.58","6,520.98","16.46B","-6.64%"
"May 15","6,984.43","6,960.63","7,083.72","6,810.05","15.79B","0.34%"
"Apr 15","6,960.63","6,773.04","7,122.74","6,765.40","15.08B","2.77%"
"Mar 15","6,773.04","6,946.66","7,065.08","6,693.80","17.93B","-2.50%"
"Feb 15","6,946.66","6,749.40","6,967.24","6,731.99","14.79B","2.92%"
"Jan 15","6,749.40","6,566.09","6,864.97","6,298.15","16.13B","2.79%"
"Dec 14","6,566.09","6,722.62","6,753.19","6,144.72","14.08B","-2.33%"
"Nov 14","6,722.62","6,546.47","6,773.14","6,444.89","14.26B","2.69%"
"Oct 14","6,546.47","6,622.72","6,622.81","6,072.68","20.15B","-1.15%"
"Sep 14","6,622.72","6,819.75","6,904.86","6,601.62","15.41B","-2.89%"
"Aug 14","6,819.75","6,730.11","6,831.19","6,528.73","10.85B","1.33%"
"Jul 14","6,730.11","6,743.94","6,875.31","6,643.62","13.16B","-0.21%"
"Jun 14","6,743.94","6,844.51","6,878.96","6,701.59","12.69B","-1.47%"
"May 14","6,844.51","6,780.03","6,894.88","6,766.84","13.89B","0.95%"
"Apr 14","6,780.03","6,598.37","6,794.88","6,507.08","15.48B","2.75%"
"Mar 14","6,598.37","6,809.70","6,827.22","6,492.62","18.32B","-3.10%"
"Feb 14","6,809.70","6,510.44","6,866.35","6,416.72","17.27B","4.60%"
"Jan 14","6,510.44","6,749.09","6,867.42","6,421.26","15.18B","-3.54%"
"Dec 13","6,749.09","6,650.57","6,768.44","6,422.23","10.80B","1.48%"
"Nov 13","6,650.57","6,731.43","6,780.11","6,613.98","12.58B","-1.20%"
"Oct 13","6,731.43","6,462.22","6,819.86","6,316.91","14.04B","4.17%"
"Sep 13","6,462.22","6,412.93","6,659.12","6,412.93","15.31B","0.77%"
"Aug 13","6,412.93","6,621.06","6,696.63","6,386.72","13.68B","-3.14%"
"Jul 13","6,621.06","6,215.47","6,662.19","6,185.21","14.67B","6.53%"
"Jun 13","6,215.47","6,583.09","6,583.09","6,023.44","15.91B","-5.58%"
"May 13","6,583.09","6,430.12","6,875.62","6,409.81","15.76B","2.38%"
"Apr 13","6,430.12","6,411.74","6,501.78","6,214.36","14.32B","0.29%"
"Mar 13","6,411.74","6,360.81","6,533.99","6,308.56","15.79B","0.80%"
"Feb 13","6,360.81","6,276.88","6,412.44","6,216.72","14.13B","1.34%"
"Jan 13","6,276.88","5,897.81","6,354.46","5,897.81","14.22B","6.43%"
"Dec 12","5,897.81","5,866.82","5,997.04","5,852.88","10.07B","0.53%"
"Nov 12","5,866.82","5,782.70","5,921.78","5,605.59","16.16B","1.45%"
"Oct 12","5,782.70","5,742.07","5,928.27","5,738.59","16.34B","0.71%"
"Sep 12","5,742.07","5,711.48","5,932.62","5,634.88","16.52B","0.54%"
"Aug 12","5,711.48","5,635.28","5,876.22","5,632.97","13.45B","1.35%"
"Jul 12","5,635.28","5,571.15","5,727.45","5,478.02","14.71B","1.15%"
"Jun 12","5,571.15","5,320.86","5,623.85","5,229.76","18.24B","4.70%"
"May 12","5,320.86","5,737.78","5,819.93","5,253.92","19.82B","-7.27%"
"Apr 12","5,737.78","5,768.45","5,890.16","5,576.37","17.51B","-0.53%"
"Mar 12","5,768.45","5,871.51","5,989.07","5,726.50","21.19B","-1.76%"
"Feb 12","5,871.51","5,681.61","5,964.02","5,680.67","19.08B","3.34%"
"Jan 12","5,681.61","5,572.28","5,806.24","5,572.28","19.75B","1.96%"
"Dec 11","5,572.28","5,505.42","5,631.88","5,328.67","14.85B","1.21%"
"Nov 11","5,505.42","5,544.22","5,616.00","5,075.22","21.15B","-0.70%"
"Oct 11","5,544.22","5,128.48","5,747.33","4,868.60","17.96B","8.11%"
"Sep 11","5,128.48","5,394.53","5,449.67","4,928.14","20.70B","-4.93%"
"Aug 11","5,394.53","5,815.19","5,913.46","4,791.01","25.91B","-7.23%"
"Jul 11","5,815.19","5,945.71","6,084.08","5,752.81","17.01B","-2.20%"
"Jun 11","5,945.71","5,989.99","5,995.22","5,644.38","19.03B","-0.74%"
"May 11","5,989.99","6,069.90","6,103.73","5,810.46","17.88B","-1.32%"
"Apr 11","6,069.90","5,908.76","6,091.75","5,858.32","12.95B","2.73%"
"Mar 11","5,908.76","5,994.01","6,052.08","5,591.59","19.74B","-1.42%"
"Feb 11","5,994.01","5,862.94","6,105.77","5,860.95","16.98B","2.24%"
"Jan 11","5,862.94","5,899.94","6,090.49","5,815.44","17.84B","-0.63%"
"Dec 10","5,899.94","5,528.27","6,021.46","5,528.27","13.81B","6.72%"
"Nov 10","5,528.27","5,675.16","5,902.11","5,519.19","19.37B","-2.59%"
"Oct 10","5,675.16","5,548.62","5,794.31","5,547.55","16.94B","2.28%"
"Sep 10","5,548.62","5,225.22","5,650.33","5,225.22","17.87B","6.19%"
"Aug 10","5,225.22","5,258.02","5,418.58","5,070.94","18.21B","-0.62%"
"Jul 10","5,258.02","4,916.87","5,411.45","4,790.04","20.93B","6.94%"
"Jun 10","4,916.87","5,188.43","5,331.46","4,898.51","24.40B","-5.23%"
"May 10","5,188.43","5,553.29","5,565.99","4,898.49","30.62B","-6.57%"
"Apr 10","5,553.29","5,679.64","5,833.73","5,533.60","21.10B","-2.22%"
"Mar 10","5,679.64","5,354.52","5,742.75","5,354.52","25.03B","6.07%"
"Feb 10","5,354.52","5,188.52","5,395.48","5,033.01","25.45B","3.20%"
"Jan 10","5,188.52","5,412.88","5,600.48","5,145.74","22.41B","-4.14%"
"Dec 09","5,412.88","5,190.68","5,445.17","5,175.66","20.44B","4.28%"
"Nov 09","5,190.68","5,044.55","5,396.96","4,985.09","21.82B","2.90%"
"Oct 09","5,044.55","5,133.90","5,299.57","4,954.98","24.45B","-1.74%"
"Sep 09","5,133.90","4,908.90","5,190.00","4,776.50","22.52B","4.58%"
"Aug 09","4,908.90","4,608.36","4,944.16","4,595.58","20.62B","6.52%"
"Jul 09","4,608.36","4,249.21","4,646.86","4,096.08","22.71B","8.45%"
"Jun 09","4,249.21","4,417.94","4,517.60","4,213.40","25.38B","-3.82%"
"May 09","4,417.94","4,243.71","4,520.82","4,210.75","22.93B","4.11%"
"Apr 09","4,243.71","3,926.14","4,293.63","3,838.22","25.14B","8.09%"
"Mar 09","3,926.14","3,830.09","3,992.42","3,460.71","32.52B","2.51%"
"Feb 09","3,830.09","4,149.64","4,333.97","3,760.70","24.62B","-7.70%"
"Jan 09","4,149.64","4,434.17","4,675.68","3,956.67","27.43B","-6.42%"
"Dec 08","4,434.17","4,288.01","4,456.19","3,973.26","20.07B","3.41%"
"Nov 08","4,288.01","4,377.34","4,639.50","3,734.07","26.77B","-2.04%"
"Oct 08","4,377.34","4,902.50","5,052.00","3,665.21","39.42B","-10.71%"
